"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1917206641055007041","Tue Apr 29 13:17:37 +0000 2025","0","Kelas Kuliah : Makro Ekonomi dan Model Bisnis Ketika manusia masih punya kebutuhan keinginan validasi dan gengsi maka peluang bisnis tak pernah hilang bahkan di situasi krisis selama manusianya masih ada -Ferry Irwandi-","1917206641055007041","","","in","","0","0","0","https://x.com/kalamirham/status/1917206641055007041","1905168482742001664","kalamirham"
"1917131733956465106","Tue Apr 29 08:39:06 +0000 2025","0","@fivreji wut aowkawo ngemri makanya Pak Ferry Irwandi stop main twt krn emang mudah banget bocor","1917136550145757574","","fivreji","in","Indonesia","0","1","0","https://x.com/kapanairi/status/1917136550145757574","1853652886674419712","kapanairi"
"1916740793748037902","Tue Apr 29 01:52:02 +0000 2025","553","@UnvirginMary ferry irwandi tuh bentukan abang2an kabem circa 2010-2014","1917034108150333817","","UnvirginMary","in","Paris, France","2","2","7","https://x.com/MomasCeline/status/1917034108150333817","1687386045577367552","MomasCeline"
"1916981899022811434","Mon Apr 28 22:24:35 +0000 2025","1","walau cuma 0.5% juga kalau menyangkut kehilangan nyawa mah apanya yang harus diapresiasi? ini orang yang dulu bikin twt keinginan warga/ferry irwandi tuh merupakan angan utopis bukan sih... meh.","1916981899022811434","","","in","she/her (23) ENFJ-A 3w2","0","2","0","https://x.com/kittenfuwr/status/1916981899022811434","1751639492073783297","kittenfuwr"
"1916949883103416485","Mon Apr 28 21:11:53 +0000 2025","0","@zsarathustr waktu kejayaan dia tuh tahun 2018/2019 gila byk bet yg ngidolain krn se jago itu bisa menang beruntun. trs ferry irwandi juga pernah notice dia waktu si udil ini roasting orang nerima sawer dari judol eh malah dia yg lebih parah ternyata. make ni orang katanya","1916963605712605365","","zsarathustr","in","🏳","0","1","0","https://x.com/yalldhy/status/1916963605712605365","1213011304522252291","yalldhy"
"1916507076655825201","Mon Apr 28 18:56:08 +0000 2025","0","@whoopziiy Udah gw duga pasti si wllie bakalan ikut2an &amp; sok jadi pahlawan Jujur semenjak kasus rame kemarin ttg willie salim terus nonton videonya bobon &amp; ferry irwandi ttg ws ini gw jadi gasuka sama dia &amp; ragu sama hal yg dilakuin dia","1916929442779435123","","whoopziiy","in","","0","0","0","https://x.com/naufdwin/status/1916929442779435123","2266655389","naufdwin"
"1916729836271448324","Mon Apr 28 17:18:28 +0000 2025","0","@LaysPetshop @_mardial_ Kalo fans mana ada saya nentang kebijakan dia yg anak nakal masukin barak militer emang pada cacat menilai sekarang ya orang orang x pantesan ferry irwandi ampe tutup akun wkwkwk","1916904865311428637","","LaysPetshop","in","Bekasi ","0","0","0","https://x.com/Tama_tsuyaa/status/1916904865311428637","1577017819","Tama_tsuyaa"
"1916721538247598187","Mon Apr 28 12:32:59 +0000 2025","0","@tempodotco Mirip ferry irwandi yaa videonya?","1916833019912135071","","tempodotco","in","","0","0","0","https://x.com/dadang_gonjes/status/1916833019912135071","1486662356939653125","dadang_gonjes"
"1916487043057910172","Mon Apr 28 10:46:44 +0000 2025","0","@bachrum_achmadi G sekalian melebihi gus dur pak habibi ferry irwandi.","1916806279294853459","","bachrum_achmadi","in","","0","0","0","https://x.com/UzumakiYuuki1/status/1916806279294853459","849542676718522370","UzumakiYuuki1"
"1916795014895767665","Mon Apr 28 10:01:58 +0000 2025","13","Setelah 5 tahun kerja di ruang tamu akhirnya ada kesempatan buat bangun ruang kerja sendiri di belakang Bakal jadi semacam lorong karya nya Mas Ferry Irwandi. https://t.co/x4GPBNOJgp","1916795014895767665","https://pbs.twimg.com/media/GpnS50kakAAfYr0.jpg","","in","","1","3","0","https://x.com/ryan_nira/status/1916795014895767665","3152479099","ryan_nira"
"1916665534718050804","Mon Apr 28 07:20:24 +0000 2025","0","@malkistenak @BudiBukanIntel Berarti bener kata si ferry irwandi","1916754356340486288","","malkistenak","in","","0","1","0","https://x.com/Ardhi_addhi/status/1916754356340486288","1243360144815095808","Ardhi_addhi"
"1916721538247598187","Mon Apr 28 05:47:24 +0000 2025","0","@tempodotco Saya bilang itu bukan komunikasi lebih ke bikin konten mau gantiin perannya Ferry Irwandi","1916730952882979295","","tempodotco","in","Jakarta, Indonesia","0","0","0","https://x.com/PrabangkaraMhdr/status/1916730952882979295","157475637","PrabangkaraMhdr"
"1916716116233326748","Mon Apr 28 04:48:27 +0000 2025","0","Lagi suka nontonin podcastnya ferry irwandi pandji pragiwaksono najwa shihab.. biasain otaknya panas dan terus berfikir secara logis biar ga tumpul nih IQ","1916716116233326748","","","in","æ","0","0","0","https://x.com/ktrnwhte/status/1916716116233326748","1851811999711399941","ktrnwhte"
"1916093463973843250","Mon Apr 28 01:45:02 +0000 2025","1","@narkosun Gibran tuh mendingan review mainan dia Tamiya dll ala2 Meidy Renaldi. Daripada konten monolog bahas isu negara ala Ferry Irwandi. Passion dia kan bukan mikirin rakyat.","1916669955388699111","","narkosun","in","Cengkareng, Indonesia","0","0","0","https://x.com/_fendy_/status/1916669955388699111","39218191","_fendy_"
"1916332852700234016","Sun Apr 27 16:05:44 +0000 2025","1","@_BangFu Pendukung Mulyono banyak yg paok tapi hatersnya juga g kalah tolol.. 2 hal tertolol haters Mulyono versiku.. 1) menggoreng isu occrp sampe segitunya 2) menganggap video Gibran plagiat Ferry Irwandi","1916524173532467574","","_BangFu","in","","0","0","0","https://x.com/KoranBola/status/1916524173532467574","1603022028818493440","KoranBola"
"1916506811777310821","Sun Apr 27 14:56:45 +0000 2025","0","ferry irwandi pansos dongo juga ada batesanya tpi buat buzzer penyefong jokowi taraf tololnya si bawah binatang","1916506811777310821","","","in","","0","0","0","https://x.com/bajangisbest/status/1916506811777310821","1798250939733999616","bajangisbest"
"1916351862120317061","Sun Apr 27 13:57:06 +0000 2025","0","@preonthin @10969sarkun @BocorAlusPol Benar kata bung ferry irwandi isi twitter memang busuk.","1916491801722261947","","preonthin","in","Indonesia 🇮🇩","0","0","0","https://x.com/A_Ryo77/status/1916491801722261947","809721985961848832","A_Ryo77"
"1916490175502565524","Sun Apr 27 13:50:39 +0000 2025","0","Baru selesai nonton video bonus demografi versi gibran &amp; ferry irwandi emang isi otak orang ga akan bisa dimanipulasi. ya allah semoga nanti gue bisa jadi orang tua yang ga akan pernah mempermalukan anak sendiri aamiin","1916490175502565524","","","in","Jakarta Capital Region","0","0","0","https://x.com/a83687/status/1916490175502565524","1682678960751255552","a83687"
"1916470225211728371","Sun Apr 27 12:31:22 +0000 2025","0","ini ada dikit dikit pas deddy corbuzier sama ferry irwandi bahas santet wkwkw","1916470225211728371","","","in","Yogyakarta","0","0","0","https://x.com/dunianudia/status/1916470225211728371","317633007","dunianudia"
