conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str
1953477646865883153,Thu Aug 07 15:25:39 +0000 2025,0,5 Potret Ayah Artis Antar Anak Sekolah Meski Sibuk Andrew White hingga Dion Wiyoko https://t.co/87n8OH5rmb,1953477646865883153,,,in,0,0,0,https://x.com/x/status/1953477646865883153,864334585860980737
1950829872924012656,Thu Jul 31 08:04:21 +0000 2025,0,Ibunya? full time everything. ngurus anak rumah urusan sekolah bahkan kalau anak sakit ibu juga yang antar. ayah? kerja. sari kecil dia belajar satu hal: pernikahan adalah sistem outsourcing. ayah outsource ke ibu. Ibu handle semua ngeri,1950829874953998466,,und3rstandy,in,0,1,0,https://x.com/x/status/1950829874953998466,1285028246753382402
1950093094336287139,Tue Jul 29 07:16:39 +0000 2025,0,20 9 Persen Anak Indonesia Tak Miliki Figur Ayah BKKBN Jawab Dengan Gerakan Ayah Antar Anak Sekolah https://t.co/cFSvmm1rtn,1950093094336287139,,,in,0,0,0,https://x.com/x/status/1950093094336287139,1291652969855766528
1949033006519456206,Sat Jul 26 09:06:41 +0000 2025,1,Menurut Pak Asep Riyadi dari Dinas Sosial Karawang si ibu (yang jadi koordinator lapangan keluarga ini) masih punya suami. Tapi sayangnya si ayah malah ikutan antar jemput anak-anaknya buat ngemis. Nggak ngantar ke sekolah tapi ke pertigaan lampu merah. Hasilnya?,1949033623807742004,,MarahIchsan,in,0,1,0,https://x.com/x/status/1949033623807742004,797761417894051840
1948201468122771633,Thu Jul 24 02:00:00 +0000 2025,4,Antar Anak Sekolah Bukan Akhir Tanggung Jawab Ayah https://t.co/SIRujuwg1H,1948201468122771633,,,in,0,0,0,https://x.com/x/status/1948201468122771633,4187275698
1947936120479879644,Wed Jul 23 08:31:12 +0000 2025,0,@feelnblue Berikut 10 aturan/kontroversial pemerintah Indonesia 2025 berdasarkan berita diverifikasi: 1. SE 7/2025: Ayah wajib antar anak hari pertama sekolah imbauan ASN (Kemendukbangga). 2. Kenaikan PPN 12% mulai 1 Jan. 3. Opsin pajak kendaraan bermotor mulai 5 Jan. 4. Tax amnesty,1947937529896054873,,feelnblue,in,0,1,0,https://x.com/x/status/1947937529896054873,1720665183188922368
1947546069954662545,Tue Jul 22 06:35:41 +0000 2025,0,Tips untuk Ayah Agar Antar Anak ke Sekolah Jadi Lebih Menyenangkan dan Penuh Makna https://t.co/hgHSaWOAHA,1947546069954662545,,,in,0,0,0,https://x.com/x/status/1947546069954662545,150589950
1947456250809356425,Tue Jul 22 00:38:46 +0000 2025,0,GATI Digelar di Murung Raya Ayah Diajak Antar Anak ke Sekolah https://t.co/8cEqdRhKwY,1947456250809356425,,,in,0,0,0,https://x.com/x/status/1947456250809356425,1082029849
1947452572006289429,Tue Jul 22 00:24:09 +0000 2025,0,Peran Ayah Tak Berakhir Usai Antar Anak di Hari Pertama Sekolah https://t.co/HK56KtNgq6,1947452572006289429,,,in,0,0,0,https://x.com/x/status/1947452572006289429,1668188086067683331
1947172059794305403,Mon Jul 21 05:49:30 +0000 2025,0,*GERAKAN AYAH ANTAR ANAK SEKOLAH* Tahun ajaran baru adalah momen yang penting bagi anak anak mereka butuh ruang yg mendidik sekaligus membentuk karakter kami sebagai orangtua harus hadir memastikan pondasinya kuat sejak awal @humaspoldakepri @divisihumaspolri @humaspolreslingga https://t.co/zfRaXMbukX,1947172059794305403,https://pbs.twimg.com/ext_tw_video_thumb/1947171763189698560/pu/img/RFUP7drEhZ1vHg7J.jpg,,in,0,0,0,https://x.com/x/status/1947172059794305403,1318779669357817856
